,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
446,南北通透 满二 4室2厅 房东急置换?,https://xm.58.com/ershoufang/44378077216653x.shtml,363,37423元/㎡,集美,杏北七里1-21号,4室2厅2卫,97.0㎡,南北, 否 ,高层(共32层),精装修,70年产权,2013年,龙湖春江郦城(一期),39238.0元/㎡,3.0元/平米/月,4.35,35,800
447,可读北师大浪琴湾 首付90万买南北通透电梯3房 ?,https://xm.58.com/ershoufang/44314895209604x.shtml,315,32428元/㎡,海沧,嵩屿北一里1-44号,3室2厅1卫,97.14㎡,南北, 否 ,低层(共18层),精装修,70年产权,2010年,未来海岸浪琴湾(南区),33249.0元/㎡,1.6元/平米/月,1.79,52,500
448,亲戚家的房有钥匙，金榜公园，文灶地铁口BRT电梯?,https://xm.58.com/ershoufang/44278474286240x.shtml,475,51631元/㎡,思明,厦禾路840号之1,3室2厅2卫,92.0㎡,东南, 否 ,中层(共20层),精装修,70年产权,2000年,金榜大厦,55167.0元/㎡,1.2元/平米/月,0,0,200
449,清盘特卖6 首付6万起 四季花都 厦门中骏品质 ?,https://xm.58.com/ershoufang/44370201687961x.shtml,59.1,6641元/㎡,厦门周边,208省道,3室2厅2卫,89.0㎡,南北, 是 ,中层(共18层),毛坯,70年产权,2016年,中骏四季花都,7331.0元/㎡,1.98元/平米/月,2.2,25,617
450,建发海玥和鸣 3房2卫 精装交付送软装 一级物业?,https://xm.58.com/ershoufang/44238548796953x.shtml,255,30000元/㎡,海沧,"东孚东二路,近东孚南路",3室2厅2卫,85.0㎡,南, 是 ,,精装修,,,建发住宅海玥和鸣,30000.0元/㎡,0.0元/平米/月,2.79,35,949
451,海沧马銮湾精装两房  拎包入住?,https://xm.58.com/ershoufang/44356318384771x.shtml,220,29334元/㎡,海沧,霞光东里1-20号,2室2厅1卫,75.0㎡,南, 否 ,中层(共42层),精装修,70年产权,2000年,海沧万科城(一期),30305.0元/㎡,2.68元/平米/月,2.7,38,350
452,祥福花园 读实验小学 外国语 楼下交通便利?,https://xm.58.com/ershoufang/44322333157028x.shtml,188,15667元/㎡,同安,西溪里173-207号,3室2厅2卫,120.0㎡,南北, 否 ,高层(共7层),精装修,70年产权,2005年,唐鸣祥福花园,16200.0元/㎡,1.8元/平米/月,0,0,800
453,莲坂BRT旁 业主自住精装三房 南北通透 00年?,https://xm.58.com/ershoufang/44323377837066x.shtml,423,48604元/㎡,思明,厦禾路1150-1168号,3室2厅1卫,87.03㎡,南北, 否 ,中层(共7层),精装修,70年产权,2000年,红杏花园,48620.0元/㎡,0.8元/平米/月,0,0,100
454,满五年 南北向 二室二厅 精装修 江头?,https://xm.58.com/ershoufang/44288749210504x.shtml,425,53710元/㎡,湖里,嘉禾路320-332号,2室2厅1卫,79.13㎡,南北, 否 ,高层(共28层),精装修,,2007年,冠宏花园,54680.0元/㎡,1.2元/平米/月,2.7,45,120
455,杏林桥头堡位置 双地铁口国贸品质 精装大三房 业?,https://xm.58.com/ershoufang/44289422271015x.shtml,370,35192元/㎡,集美,杏北六里35-45号,3室2厅2卫,105.14㎡,南北, 否 ,中层(共32层),精装修,70年产权,2018年,国贸天悦(一期),37932.0元/㎡,2.8元/平米/月,3.27,30,1266
456,禹洲大學城 本月热房 大三居急售，性价比高，超值?,https://xm.58.com/ershoufang/44433970191003x.shtml,205,21634元/㎡,同安,美人山一里2-28号,3室2厅2卫,94.76㎡,南北, 否 ,低层(共35层),精装修,70年产权,2010年,禹洲大学城,24457.0元/㎡,1.6元/平米/月,4.5,35,1100
457,吕厝地铁口，西阙楼中楼4房，朝南户型，厅带阳台，?,https://xm.58.com/ershoufang/43901633570951x.shtml,698,47461元/㎡,湖里,嘉禾路334-380号,4室2厅2卫,147.07㎡,南, 否 ,高层(共9层),精装修,70年产权,2003年,东方巴黎广场,56699.0元/㎡,1.5元/平米/月,2,45,800
458,建发住宅海玥和鸣 3室2厅1卫 环境优美 品质小?,https://xm.58.com/ershoufang/44270327173254x.shtml,231,30000元/㎡,海沧,"东孚东二路,近东孚南路",3室2厅1卫,77.0㎡,南, 是 ,,精装修,,,建发住宅海玥和鸣,30000.0元/㎡,0.0元/平米/月,2.79,35,949
459,国贸天成 4室2厅2卫 安全性高 车位充足 高绿?,https://xm.58.com/ershoufang/44432792375692x.shtml,500,36497元/㎡,翔安,"翔安东路,近鸿翔北路",4室2厅2卫,137.0㎡,南, 是 ,,精装修,,2021年,国贸天成,36351.0元/㎡,0.0元/平米/月,2,30,1924
460,地铁口附近精装4房  拎包入住?,https://xm.58.com/ershoufang/43990640513801x.shtml,550,31916元/㎡,海沧,钟林里321-330号,4室2厅3卫,172.33㎡,南北, 否 ,低层(共45层),精装修,70年产权,2015年,西雅图,31840.0元/㎡,2.7元/平米/月,5,30,2005
461,正规两室 通风好采光棒 高楼层 业主置换 首开领?,https://xm.58.com/ershoufang/44211955316643x.shtml,191,21904元/㎡,翔安,"新莲一里15-19号,新莲二里23-30号,新莲三里1-9号",2室2厅1卫,87.2㎡,南, 否 ,高层(共33层),毛坯,70年产权,2018年,首开领翔上郡(公寓住宅),24261.0元/㎡,2.2元/平米/月,2.5,30,2067
462,集美新城繁华地段 龙湖春江郦城精装楼中楼 高赠送?,https://xm.58.com/ershoufang/44323424660262x.shtml,363,37598元/㎡,集美,杏北七里1-21号,4室2厅2卫,96.55㎡,南北, 否 ,高层(共32层),精装修,70年产权,2016年,龙湖春江郦城(一期),39248.0元/㎡,3.0元/平米/月,4.35,35,800
463,禹洲大学城 自住精装修 温馨舒适 拎包入住 业主?,https://xm.58.com/ershoufang/44437076693280x.shtml,178,20888元/㎡,同安,美人山一里2-28号,2室2厅1卫,85.22㎡,西北, 否 ,低层(共33层),精装修,70年产权,2012年,禹洲大学城,24457.0元/㎡,1.6元/平米/月,4.5,35,1100
464,满五年 南北向 二室一厅 简单装修 江头?,https://xm.58.com/ershoufang/44128103774091x.shtml,390,51684元/㎡,湖里,嘉禾路320-332号,2室1厅1卫,75.46㎡,南北, 否 ,中层(共27层),简单装修,,2007年,冠宏花园,54680.0元/㎡,1.2元/平米/月,2.7,45,120
465,房东强烈要求卖掉。吕厝地铁旁。三居室。欧式白色系?,https://xm.58.com/ershoufang/44424374454050x.shtml,668,54804元/㎡,湖里,嘉禾路320-332号,3室2厅2卫,121.89㎡,东南, 否 ,中层(共28层),豪华装修,70年产权,2007年,冠宏花园,54680.0元/㎡,1.2元/平米/月,2.7,45,120
466,莲坂西小区2楼边套无遮挡南北全明3房结构钥匙在手?,https://xm.58.com/ershoufang/43946049726099x.shtml,415,47620元/㎡,思明,长青路1-154号,3室2厅1卫,87.15㎡,南北, 否 ,低层(共7层),简单装修,70年产权,1996年,莲坂西小区,50637.0元/㎡,0.5元/平米/月,0,0,500
467,读滨东小学 裕盛园楼中楼 朝南2房可改3房 全盘?,https://xm.58.com/ershoufang/44400764221349x.shtml,660,68042元/㎡,思明,湖滨南路294号,2室2厅2卫,97.0㎡,南, 否 ,低层(共20层),简单装修,70年产权,2005年,裕盛园,63325.0元/㎡,2.8元/平米/月,0,0,30
468,城南BRT旁两房 读实验中学 银城明珠 交通便利?,https://xm.58.com/ershoufang/44335283938309x.shtml,105,20512元/㎡,同安,城南二里1-73号,2室1厅1卫,51.19㎡,南北, 否 ,低层(共6层),精装修,70年产权,2004年,银城明珠,19011.0元/㎡,0.9元/平米/月,2.2,40,1000
469,九号公馆附近一中六中摇号 同城湾 精装修三房 急?,https://xm.58.com/ershoufang/44399651977873x.shtml,200,20936元/㎡,同安,凤山一里42-60号,3室2厅1卫,95.53㎡,南, 否 ,低层(共18层),精装修,70年产权,2009年,厦航同城湾(公寓住宅),23016.0元/㎡,1.5元/平米/月,2.1,38,40
470,业主急售 泉水湾真实农场 两房价格买四房面积 找?,https://xm.58.com/ershoufang/44201504675112x.shtml,309,35698元/㎡,集美,乐海北里17-146号,2室2厅1卫,86.56㎡,西南, 否 ,低层(共28层),简单装修,70年产权,2010年,泉舜泉水湾(一期),37067.0元/㎡,1.6元/平米/月,3.49,35,840
471,凯悦新城专案多套钥匙在手  三房全明 看房方便 ?,https://xm.58.com/ershoufang/44425964704293x.shtml,510,59698元/㎡,湖里,金湖二里44-66号,3室2厅1卫,85.43㎡,南, 否 ,中层(共13层),精装修,70年产权,2009年,凯悦新城(公寓住宅),60686.0元/㎡,2.2元/平米/月,1.53,46,300
472,文灶 电梯高层朝南 可做三房 空户     有户?,https://xm.58.com/ershoufang/44392525862532x.shtml,638,64838元/㎡,思明,"文屏路26-30号,文屏巷22号",2室2厅1卫,98.4㎡,南北, 否 ,中层(共30层),精装修,70年产权,2004年,建达花园,68280.0元/㎡,1.4元/平米/月,0,0,20
473,集美融侨观澜 88平3房2卫带精装修，门6.2万?,https://xm.58.com/ershoufang/44300302509726x.shtml,249,27978元/㎡,集美,"灌口大道,近松林路",3室2厅2卫,89.0㎡,东南, 是 ,,精装修,70年产权,2020年,融侨观澜,34609.0元/㎡,0.0元/平米/月,2.4,35,1000
474,2室2厅1卫 86.0平米 174.50万元?,https://xm.58.com/ershoufang/44289297939594x.shtml,170,20000元/㎡,,,,,,,,,,,,,,,,
475,阳光清境 电梯精装三房 208万 低于市场10万?,https://xm.58.com/ershoufang/44432858178312x.shtml,208,22858元/㎡,同安,西池一里355-367号,3室1厅2卫,91.0㎡,南北, 否 ,低层(共15层),精装修,70年产权,2009年,阳光清境,24492.0元/㎡,1.2元/平米/月,2.78,70,100
476,泰禾厦门院子 高层精致三房视野开阔 地铁口读实验?,https://xm.58.com/ershoufang/44336100520355x.shtml,275,27296元/㎡,海沧,"新景西里318-341,350-352号",3室2厅1卫,100.75㎡,南北, 否 ,中层(共32层),毛坯,70年产权,2017年,泰禾厦门院子(公寓住宅),29938.0元/㎡,3.0元/平米/月,2.1,30,1354
477,会展华尔顿 海峡国际社区一期 高层实用三房 第二?,https://xm.58.com/ershoufang/44333769627147x.shtml,1098,84469元/㎡,思明,会展北里1-10号,3室2厅2卫,129.99㎡,东西, 否 ,中层(共31层),精装修,70年产权,2011年,海峡国际社区(一期),93534.0元/㎡,4.1元/平米/月,1.8,80,500
478,松柏新出电梯小户型3房 适合刚需的你 自住精装 ?,https://xm.58.com/ershoufang/44389131449000x.shtml,350,51592元/㎡,思明,长青路283号,3室1厅1卫,67.84㎡,西北, 否 ,中层(共31层),精装修,70年产权,2004年,嘉华大厦,59021.0元/㎡,1.5元/平米/月,0,35,160
479,古龙 南北通透 精装4室 看中可谈 电梯房 11?,https://xm.58.com/ershoufang/44444118931867x.shtml,368,31725元/㎡,同安,九曜山家园1-11号,4室2厅3卫,116.0㎡,南北, 否 ,高层(共19层),精装修,70年产权,2011年,古龙御园,36904.0元/㎡,2.2元/平米/月,1.81,49,80
480,曾营小学 厦门十中 万科里边华铃花园精装2房朝南?,https://xm.58.com/ershoufang/44324563181984x.shtml,160,26667元/㎡,集美,纺织路73-91号,2室2厅1卫,60.0㎡,南, 否 ,高层(共18层),精装修,70年产权,2013年,华铃花园,26692.0元/㎡,1.0元/平米/月,3.59,38,50
481,融创云潮府 3室2厅2卫 近地铁 装修交付 繁华?,https://xm.58.com/ershoufang/43947381757198x.shtml,276,31012元/㎡,海沧,"东孚东二路,近东孚南路",3室2厅2卫,89.0㎡,南, 是 ,,精装修,70年产权,2023年,融创云潮府,31066.0元/㎡,0.0元/平米/月,2.5,35,1109
482,满2年省税价格好谈有地铁学校近首付63万买中海精?,https://xm.58.com/ershoufang/44447059135383x.shtml,235,24480元/㎡,集美,锦园东二里18-27号,3室2厅1卫,96.0㎡,南北, 否 ,中层(共34层),精装修,70年产权,2017年,中海锦城国际(一期),24950.0元/㎡,2.9元/平米/月,2.59,33,500
483,地铁旁。江头 牛小区。南北通透。高层三房。温馨装?,https://xm.58.com/ershoufang/44444765603362x.shtml,618,45948元/㎡,湖里,嘉禾路334-380号,3室2厅2卫,134.5㎡,东南, 否 ,中层(共19层),精装修,70年产权,1999年,东方巴黎广场,56699.0元/㎡,1.5元/平米/月,2,45,800
484,业主诚售 银溪一期 空户空学位 满二省税 价格真?,https://xm.58.com/ershoufang/44447036114081x.shtml,265,30883元/㎡,同安,滨洲四里1-13号,2室2厅1卫,85.81㎡,南北, 否 ,中层(共32层),精装修,70年产权,2015年,特房银溪墅府梅斯花园,30474.0元/㎡,3.0元/平米/月,2.01,30,966
485,集美 祥和雅筑 2个露台 四代同堂都够住 单价足?,https://xm.58.com/ershoufang/44334023649538x.shtml,338,18071元/㎡,集美,天英一里8-88号,5室3厅3卫,187.05㎡,南北, 否 ,高层(共7层),精装修,70年产权,2008年,祥和雅筑(一期),23024.0元/㎡,0.75元/平米/月,1.6,31,50
486,海德公园二期 三房两卫售375万 性价比高  美?,https://xm.58.com/ershoufang/44322920175385x.shtml,375,29898元/㎡,集美,东安南二里39-66号,3室2厅2卫,125.43㎡,南北, 否 ,中层(共26层),毛坯,70年产权,2014年,招商海德公园二期,34191.0元/㎡,2.0元/平米/月,0,0,380
487,首付40万 二小二外中层三房 南北通透双阳台 陆?,https://xm.58.com/ershoufang/44414764666407x.shtml,170,14913元/㎡,同安,陆丰里103-127号,3室2厅2卫,114.0㎡,南北, 否 ,中层(共7层),简单装修,70年产权,1996年,中福花园,15815.0元/㎡,1.4元/平米/月,0,15,110
488,满五年 东南北向 五室三厅 高端装修 湖滨路?,https://xm.58.com/ershoufang/44426909198082x.shtml,1120,54712元/㎡,思明,湖滨南三里61-69号,5室3厅3卫,204.71㎡,东南, 否 ,高层(共7层),豪华装修,,2000年,金象嘉园,70324.0元/㎡,1.5元/平米/月,0,30,240
489,金都海尚国际 高楼层 一线海景房 交通便利 争取?,https://xm.58.com/ershoufang/44444565391517x.shtml,375,34200元/㎡,同安,美峰二里1-23号,3室2厅2卫,109.65㎡,南北, 否 ,高层(共46层),精装修,70年产权,2018年,保利叁仟栋(一期公寓住宅),33639.0元/㎡,3.1元/平米/月,2.1,30,1000
490,精装修 年轻家庭必备两房 学区美地雅登祥吴一里 ?,https://xm.58.com/ershoufang/44433313107358x.shtml,197,25555元/㎡,翔安,祥吴一里1-10号,2室2厅1卫,77.09㎡,南, 否 ,中层(共25层),精装修,70年产权,2013年,美地雅登祥吴一里,25745.0元/㎡,1.2元/平米/月,2.5,44,500
491,7300买 附.小.学 期面积99.98平朝南户?,https://xm.58.com/ershoufang/44425049365278x.shtml,73,7300元/㎡,厦门周边,南滨大道278号,3室2厅1卫,100.0㎡,南北, 否 ,低层(共32层),毛坯,70年产权,2015年,永鸿御景湾,10492.0元/㎡,1.2元/平米/月,1.64,35,500
492,朝南 3室2厅 保利叁仟栋(一期公寓) 107平?,https://xm.58.com/ershoufang/43817804875154x.shtml,349,32593元/㎡,同安,美峰二里1-23号,3室2厅2卫,107.08㎡,南, 否 ,高层(共33层),精装修,70年产权,2015年,保利叁仟栋(一期公寓住宅),33639.0元/㎡,3.1元/平米/月,2.1,30,1000
493,思北 源昌国际城旁 联邦广场 电梯3房 全明方正?,https://xm.58.com/ershoufang/44147719137550x.shtml,668,53802元/㎡,思明,禾祥西路8之17-30,3室2厅2卫,124.16㎡,东北, 否 ,低层(共15层),精装修,70年产权,2005年,联邦广场,63454.0元/㎡,1.5元/平米/月,0,0,500
494,大学康城楼中楼 改好小三房 满五  免双税 出售?,https://xm.58.com/ershoufang/44433148640522x.shtml,168,24073元/㎡,集美,康成二里3-19号,3室2厅1卫,69.79㎡,南北, 否 ,高层(共32层),精装修,70年产权,2009年,夏商大学康城(二期),23697.0元/㎡,1.25元/平米/月,2.5,45,500
495,毛坯大三房  中骏124平   环境优美?,https://xm.58.com/ershoufang/43827228832411x.shtml,280,22579元/㎡,翔安,印斗山五里1-14号,3室2厅1卫,124.01㎡,南北, 否 ,中层(共18层),毛坯,70年产权,2014年,中骏蓝湾尚都(公寓住宅),24567.0元/㎡,2.0元/平米/月,2,30,500
496,行政中心地铁口10米  读延奎  看海4房 天籁?,https://xm.58.com/ershoufang/44424748237069x.shtml,358,32253元/㎡,海沧,海富里330-346号,4室2厅1卫,111.0㎡,南北, 否 ,高层(共11层),简单装修,70年产权,2000年,隆晖花园,44634.0元/㎡,0.9元/平米/月,2,36,200
497,2房2厅1卫  黎安三期精装修朝南 户型方正?,https://xm.58.com/ershoufang/44335593639186x.shtml,235,26181元/㎡,翔安,印斗山三里1-13号,2室2厅1卫,89.76㎡,南北, 否 ,中层(共18层),精装修,70年产权,2015年,特房黎安小镇(三期),24755.0元/㎡,1.8元/平米/月,2.7,35,500
498,国贸金沙湾 大三房 1号楼位置看海 就读实验中学?,https://xm.58.com/ershoufang/43529140181893x.shtml,350,32711元/㎡,同安,美溪一里12-18号,3室2厅1卫,107.0㎡,南, 否 ,高层(共32层),毛坯,70年产权,2013年,国贸金沙湾(公寓住宅),35731.0元/㎡,2.6元/平米/月,1.89,30,460
499,（必看新房）厦门湾南岸~智能化小区~交房即精装~?,https://xm.58.com/ershoufang/44344839117724x.shtml,94.34,10600元/㎡,厦门周边,南滨大道395号,3室2厅2卫,89.0㎡,南北, 是 ,中层(共33层),精装修,70年产权,2020年,阳光城丽景湾,11265.0元/㎡,1.0元/平米/月,2.5,25,500
500,万景花园 满二 112平 南北通透 精装 诚售4?,https://xm.58.com/ershoufang/44225772390679x.shtml,460,40966元/㎡,湖里,宜宾路62-84号,3室2厅2卫,112.29㎡,南北, 否 ,高层(共7层),精装修,70年产权,1998年,万景花园,41089.0元/㎡,1.0元/平米/月,2.3,45,80
501,悦华路 5室2厅4卫 257.0平米 775.0?,https://xm.58.com/ershoufang/44413168487699x.shtml,775,30156元/㎡,湖里,和悦里81-89号,5室2厅4卫,257.0㎡,南北, 否 ,高层(共10层),毛坯,,2000年,玉泉花园,30714.0元/㎡,0.8元/平米/月,0,0,60
502,VR全景丨卡达海景房，全盘价格低，业主及售，厦门?,https://xm.58.com/ershoufang/44416276175643x.shtml,74,9025元/㎡,厦门周边,南海一路29号,2室2厅1卫,82.0㎡,南北, 否 ,中层(共32层),毛坯,70年产权,2015年,招商卡达凯斯,12008.0元/㎡,0.0元/平米/月,1.5,40,500
503,高层复式5米4房 三面采光 南北 精装读江头三小?,https://xm.58.com/ershoufang/44421894620432x.shtml,598,64544元/㎡,湖里,江顺里233-243号,3室2厅2卫,92.65㎡,南北, 否 ,高层(共13层),精装修,70年产权,2005年,新景雅苑,65818.0元/㎡,0.6元/平米/月,0,35,120
504,急.售~低于行情 卡达凯斯 海景两房 坐山看海 ?,https://xm.58.com/ershoufang/44444549522829x.shtml,73.8,9000元/㎡,厦门周边,南海一路29号,2室2厅1卫,82.0㎡,南北, 否 ,中层(共32层),毛坯,70年产权,2015年,招商卡达凯斯,12008.0元/㎡,0.0元/平米/月,1.5,40,500
505,黎安一期单身公寓   环境优美  交通便利?,https://xm.58.com/ershoufang/43648102523549x.shtml,200,24272元/㎡,翔安,印斗山一里3-7号,2室2厅1卫,82.4㎡,南北, 否 ,高层(共18层),精装修,70年产权,2012年,特房黎安小镇(一期),28588.0元/㎡,2.0元/平米/月,2.69,35,500
506,黎安小镇三期 装修豪华 房东自住 大三房 有学位?,https://xm.58.com/ershoufang/43606959570966x.shtml,305,27208元/㎡,翔安,印斗山三里1-13号,3室2厅2卫,112.1㎡,南北, 否 ,高层(共34层),精装修,70年产权,2014年,特房黎安小镇(三期),24755.0元/㎡,1.8元/平米/月,2.7,35,500
507,高楼层  南北通透  黎安四期大三房?,https://xm.58.com/ershoufang/44079839878310x.shtml,330,29634元/㎡,翔安,印斗山四里1-11号,3室2厅2卫,111.36㎡,南北, 否 ,中层(共18层),精装修,70年产权,2016年,特房黎安小镇(四期),29387.0元/㎡,2.0元/平米/月,2.69,35,500
508,中骏两房诚意出售  交通便利  环境优美  教育?,https://xm.58.com/ershoufang/43526391641494x.shtml,195,23822元/㎡,翔安,印斗山五里1-14号,2室2厅1卫,81.86㎡,南北, 否 ,中层(共18层),毛坯,70年产权,2014年,中骏蓝湾尚都(公寓住宅),24567.0元/㎡,2.0元/平米/月,2,30,500
509,急 附 小附 中 学位房 三天必卖好房 单价六千?,https://xm.58.com/ershoufang/44377732458919x.shtml,95,6710元/㎡,厦门周边,南滨大道295号,3室2厅2卫,141.6㎡,南北, 否 ,高层(共8层),毛坯,70年产权,2012年,绿海学城,8569.0元/㎡,1.0元/平米/月,0,0,400
510,自家房产，因换房急售，免中借费，性价比高，看房可?,https://xm.58.com/ershoufang/44413080810020x.shtml,246,22044元/㎡,集美,珩山一里1-12号,3室2厅2卫,111.6㎡,南, 否 ,低层(共49层),精装修,70年产权,2012年,万科广场,23296.0元/㎡,3.38元/平米/月,5.15,20,1000
511,角美 万达旁 地铁口 复式楼 楼中楼 现房 通透?,https://xm.58.com/ershoufang/43959972075404x.shtml,46,8680元/㎡,厦门周边,角江路,3室2厅1卫,53.0㎡,南北, 是 ,低层(共18层),毛坯,40年产权,2015年,e+国际(商住楼),9946.0元/㎡,0,0,"
                                            ",
512,水晶芸溪祥府 3室2厅2卫 环境优美 低单价 优?,https://xm.58.com/ershoufang/44300176150794x.shtml,189,21236元/㎡,同安,"横五路,近溪声路",3室2厅2卫,89.0㎡,南, 是 ,,精装修,,2020年,水晶芸溪祥府,21139.0元/㎡,0.0元/平米/月,2.16,42,522
513,水晶芸溪祥府 3室2厅1卫 配套成熟 交通方便精?,https://xm.58.com/ershoufang/43471637042978x.shtml,178,21708元/㎡,同安,"横五路,近溪声路",3室2厅1卫,82.0㎡,南, 是 ,中层(共28层),精装修,70年产权,2000年,水晶芸溪祥府,21139.0元/㎡,0.0元/平米/月,2.16,42,522
514,超大四房，三阳台268万你去哪找！！！?,https://xm.58.com/ershoufang/44391383672210x.shtml,268,22135元/㎡,翔安,洪前北里1-9号,4室2厅2卫,121.08㎡,南北, 否 ,中层(共42层),毛坯,70年产权,2017年,禹洲卢卡小镇(公寓住宅),24724.0元/㎡,2.9元/平米/月,2.5,30,899
515,急售新出房源 莲花片区 精装3房 89平 报价5?,https://xm.58.com/ershoufang/44435935728799x.shtml,515,57905元/㎡,思明,香秀里1-56号,3室1厅2卫,88.94㎡,南北, 否 ,低层(共6层),精装修,70年产权,1994年,香秀里1-56号小区,56090.0元/㎡,0.6元/平米/月,3,0,100
516,中骏高楼层  豪华装修  满二小三房?,https://xm.58.com/ershoufang/44192222294023x.shtml,235,26361元/㎡,翔安,印斗山五里1-14号,3室2厅1卫,89.15㎡,南北, 否 ,高层(共18层),精装修,70年产权,2014年,中骏蓝湾尚都(公寓住宅),24567.0元/㎡,2.0元/平米/月,2,30,500
517,厦门西，精装两房可做三房，月供2000多，近万达?,https://xm.58.com/ershoufang/44084586625686x.shtml,38,8086元/㎡,厦门周边,角海路,2室2厅2卫,47.0㎡,南北, 否 ,中层(共16层),精装修,40年产权,2018年,汇金置地广场,10318.0元/㎡,2.0元/平米/月,1,25,1015
518,朝南 195万 满五  住房 3室2厅 诚心出售?,https://xm.58.com/ershoufang/44249876416657x.shtml,195,22072元/㎡,集美,黄庄三里60-243号,3室2厅2卫,88.35㎡,南, 否 ,低层(共18层),简单装修,70年产权,2007年,乐活小镇,21803.0元/㎡,1.1元/平米/月,2.6,40,50
519,厦门周边必选房~花园洋房，招商兰溪谷。双阳台，养?,https://xm.58.com/ershoufang/44438622170254x.shtml,100.7,10000元/㎡,厦门周边,南滨大道,3室2厅2卫,100.7㎡,南北, 是 ,高层(共11层),豪华装修,70年产权,2012年,招商兰溪谷,12124.0元/㎡,1.25元/平米/月,1,40,5396
520,329万 精装修 3室2厅 厦航高郡 100平 ?,https://xm.58.com/ershoufang/44413703889434x.shtml,329,32597元/㎡,同安,凤祥五里101-132号,3室2厅3卫,100.93㎡,南北, 否 ,中层(共30层),精装修,70年产权,2014年,厦航高郡,34193.0元/㎡,1.2元/平米/月,2.25,38,40
521,特价 高层83平三房 东南向~厦大系附属学 校 ?,https://xm.58.com/ershoufang/44444370967314x.shtml,71.38,8600元/㎡,厦门周边,南滨大道389号,3室2厅1卫,83.0㎡,东南, 否 ,高层(共32层),毛坯,70年产权,2016年,永鸿厦门湾南岸,9552.0元/㎡,1.9元/平米/月,3.31,25,1513
522,码头旁，海滨学府，送面积，生活好 利用空间大，广?,https://xm.58.com/ershoufang/44411534061330x.shtml,102,10394元/㎡,厦门周边,招商大道27号,3室2厅2卫,98.14㎡,南北, 否 ,低层(共18层),毛坯,70年产权,2015年,广隆海尚首府,12892.0元/㎡,1.5元/平米/月,2.5,33,600
523,溢翔公寓 户型方正 交通便利 就读实验中学 心动?,https://xm.58.com/ershoufang/43564099644196x.shtml,150,36586元/㎡,同安,美溪一里2-8号,1室1厅1卫,41.0㎡,北, 否 ,中层(共20层),毛坯,70年产权,2013年,溢翔首府,31433.0元/㎡,1.6元/平米/月,3.4,30,270
524,黎安三期 中高层  正规两房?,https://xm.58.com/ershoufang/44159716417568x.shtml,215,23953元/㎡,翔安,印斗山三里1-13号,2室2厅1卫,89.76㎡,南北, 否 ,中层(共18层),精装修,70年产权,2015年,特房黎安小镇(三期),24755.0元/㎡,1.8元/平米/月,2.7,35,500
525,莲花五村 禹洲花园旁 电梯3房 龙山二期 南北通?,https://xm.58.com/ershoufang/44344273026196x.shtml,558,54002元/㎡,思明,盘龙路35-77号,3室2厅2卫,103.33㎡,南北, 否 ,高层(共14层),精装修,70年产权,2009年,龙山二期安置房,55505.0元/㎡,1.6元/平米/月,0,0,10
526,7折 全湖景 厦大 附 中正对面 永鸿厦门湾南岸?,https://xm.58.com/ershoufang/44432769595658x.shtml,100.7,9500元/㎡,厦门周边,南滨大道389号,3室2厅2卫,106.0㎡,南北, 是 ,中层(共32层),精装修,70年产权,2013年,永鸿厦门湾南岸,9552.0元/㎡,1.9元/平米/月,3.31,25,1513
527,楼层好，采光充足，视野无遮挡，满五   ，?,https://xm.58.com/ershoufang/44435681726226x.shtml,310,42736元/㎡,思明,"西林西里1-85号,111-122号,西林东里2-64号",2室2厅1卫,72.54㎡,南北, 否 ,中层(共9层),精装修,70年产权,1998年,金鸡亭花园小区,40812.0元/㎡,0.5元/平米/月,0,33,500
528,朝南两房低总价  港昌新苏格兰  户型方正 双 ?,https://xm.58.com/ershoufang/44411409381129x.shtml,83,9578元/㎡,厦门周边,湘江路89号,2室2厅1卫,86.66㎡,西南, 否 ,高层(共18层),毛坯,70年产权,2015年,港昌新苏格兰,10516.0元/㎡,1.8元/平米/月,2.8,38.19,798
529,绿地鹭城89平三房，首付20万，翔安厦大旁，享汇?,https://xm.58.com/ershoufang/44444330568860x.shtml,95,10675元/㎡,厦门周边,省道11,2室2厅1卫,89.0㎡,南北, 是 ,中层(共24层),毛坯,70年产权,2020年,绿地鹭城,11250.0元/㎡,0.0元/平米/月,2.3,35,2118
530,业主降价怒甩 森林海全南户型 双阳台 空学位 学?,https://xm.58.com/ershoufang/44444174514720x.shtml,220,27429元/㎡,同安,海城六里1-10号,2室2厅1卫,80.21㎡,南北, 否 ,低层(共9层),毛坯,70年产权,2011年,欣盛丰森林海,25297.0元/㎡,3.9元/平米/月,2,40,471
531,中海锦城大三房两卫通透户型两阳台二次装修硅藻泥墙?,https://xm.58.com/ershoufang/44413561939335x.shtml,264.5,23684元/㎡,集美,锦园东二里12-17号,3室2厅2卫,111.68㎡,南, 否 ,低层(共34层),精装修,70年产权,2015年,中海锦城国际(二期),24819.0元/㎡,2.9元/平米/月,2.59,33,300
